Subject,Epoch,State,Epoch_Index,Window_Index,Time_s,Log10_Delta_Power,Log10_Theta_Power,Log10_Alpha_Power,Log10_Beta_Power,Log10_Gamma_Power
10,10_16,Focus,16,2,1.5,-11.160480152264897,-11.864458720345102,-12.050333657014379,-12.497865715874973,-13.156626686093364
10,10_16,Focus,16,3,2.0,-10.984938992012971,-11.754186811354815,-12.161494281873432,-12.52728594349629,-13.223908333687605
10,10_16,Focus,16,4,2.5,-11.001841269357412,-11.968818350400008,-12.013753445800043,-12.602275123839046,-13.254504236193693
10,10_16,Focus,16,5,3.0,-11.147206651769988,-11.826056471871597,-12.154555256576526,-12.623750369939948,-13.206327435745276
10,10_16,Focus,16,6,3.5,-10.90509505744471,-11.702144200261081,-11.553485534213628,-12.362403949952277,-13.239701084918087
10,10_16,Focus,16,7,4.0,-10.861374470260515,-11.602334989158116,-11.968338971321609,-12.566984665597627,-13.291473620795456
10,10_16,Focus,16,8,4.5,-11.42884695769034,-11.800269447425075,-11.956568778205954,-12.671521820918413,-13.428719788370113
10,10_17,MW,17,0,0.5,-10.774605813190176,-12.161631880138279,-12.220093907520843,-12.50019367126897,-13.392913618104654
10,10_17,MW,17,1,1.0,-11.08606093713781,-11.921872789232975,-12.163317576258216,-12.614832022013438,-13.22668763188741
10,10_17,MW,17,2,1.5,-11.45236537317629,-11.910738065867067,-12.113098992859586,-12.814454673427239,-13.249568316408094
10,10_17,MW,17,3,2.0,-11.153231424625188,-12.142440655249391,-12.456473265253843,-12.68883242305376,-13.206780586713341
10,10_17,MW,17,4,2.5,-10.944326861192524,-11.920447108232743,-12.33513398077464,-12.77410649901963,-13.287819473812194
10,10_17,MW,17,5,3.0,-10.941948762188943,-11.870569560628153,-12.229240582608355,-12.78511704075536,-13.346223017090875
10,10_17,MW,17,6,3.5,-10.953272072699525,-12.165838921636144,-12.242081647341191,-12.657874429874962,-13.469246876333765
10,10_17,MW,17,7,4.0,-11.386373761184123,-11.930728635504657,-12.28129309019635,-12.473813724333876,-12.929547437286589
10,10_17,MW,17,8,4.5,-11.151418967052068,-11.81671156682213,-12.254583157435112,-12.711117127086725,-13.080924974260894
10,10_18,Focus,18,0,0.5,-11.29121006577068,-11.956337035084037,-12.230825822803281,-12.889348637223227,-13.351975685620946
10,10_18,Focus,18,1,1.0,-11.354900565345433,-11.806236018286578,-12.231770895494062,-12.866868489187826,-13.312172143781126
10,10_18,Focus,18,2,1.5,-11.337099663427216,-11.801845452347829,-12.42951191155398,-12.894705736778649,-13.371693442972543
10,10_18,Focus,18,3,2.0,-11.420341566623406,-11.848412386163472,-12.337093395493282,-12.815284603442839,-13.200627326475136
10,10_18,Focus,18,4,2.5,-11.41381036948641,-11.874697533739898,-12.370009450167801,-12.84303304457717,-13.455690836518878
10,10_18,Focus,18,5,3.0,-10.92196082514135,-11.833209860868715,-12.529562116354356,-12.859080527820455,-13.43840431726273
10,10_18,Focus,18,6,3.5,-11.12227061895752,-11.919137470402514,-12.223775930951648,-12.744390759414786,-13.391368366325741
10,10_18,Focus,18,7,4.0,-11.242217523075343,-11.98286293677691,-12.471909378716555,-12.90455299511728,-13.372802618388182
10,10_18,Focus,18,8,4.5,-11.189942498143418,-11.614774278260558,-12.393055798461234,-12.798511853436302,-13.236810503731746
10,10_19,MW,19,0,0.5,-11.187221179188342,-12.0408920351799,-12.263760247869037,-12.490886343802057,-13.242620112403168
10,10_19,MW,19,1,1.0,-11.029397328566192,-12.052062446980338,-12.434947806352493,-12.614379366404409,-13.258082922035683
10,10_19,MW,19,2,1.5,-11.240140458761143,-11.728330298600145,-12.2185529177716,-12.548833533688672,-13.246930089126096
10,10_19,MW,19,3,2.0,-11.312888556222772,-11.847760223713985,-11.607275354562978,-12.535783343292469,-13.207330467653192
10,10_19,MW,19,4,2.5,-11.088654555703723,-11.767700433064528,-12.188874934343085,-12.542462998899401,-13.12837537500006
10,10_19,MW,19,5,3.0,-11.219121292229227,-12.017524414237158,-12.324252212654491,-12.753165227494996,-13.290250440903526
10,10_19,MW,19,6,3.5,-11.180669620575186,-11.877954488558792,-12.166532325233828,-12.737116960526931,-13.240888394120082
10,10_19,MW,19,7,4.0,-11.242354309903938,-12.158715986920882,-12.412040598869954,-12.718421096479013,-13.307605350983103
10,10_19,MW,19,8,4.5,-11.120384362101579,-12.115575151788624,-12.232069036693996,-12.751274398033619,-13.272681715439436
10,10_20,Focus,20,0,0.5,-11.15511693732501,-12.11024208561597,-12.025611665329969,-12.657898579760749,-13.371235770657872
10,10_20,Focus,20,1,1.0,-11.046873792732613,-12.091424237075431,-12.199103059644276,-12.583113000561102,-13.287208602387986
10,10_20,Focus,20,2,1.5,-11.374580719407785,-12.038170944043406,-12.445403942866037,-12.416730360609602,-13.372636713798954
10,10_20,Focus,20,3,2.0,-11.171722304155962,-11.860637220092666,-11.787336672710934,-12.501436751559227,-13.398740224444417
10,10_20,Focus,20,4,2.5,-10.94762496811597,-11.884419181939668,-12.042506410330159,-12.590149465565656,-13.372749106367698
10,10_20,Focus,20,5,3.0,-11.276520621706839,-11.867263777651068,-12.151053163096693,-12.747533031432486,-13.280534155865517
10,10_20,Focus,20,6,3.5,-11.121453542082792,-11.73117845172839,-11.600877035442304,-12.446883360344728,-13.372283225565942
10,10_20,Focus,20,7,4.0,-11.430416486730564,-11.904183214331358,-11.842490896647941,-12.541743689769465,-13.347600715874947
10,10_20,Focus,20,8,4.5,-11.048204788559184,-12.033872901808845,-12.300386157867472,-12.444595241297495,-13.227587739054389
10,10_21,Focus,21,0,0.5,-11.186579636074256,-12.063735061762285,-12.329129580093973,-12.629927408435355,-13.099063473377358
10,10_21,Focus,21,1,1.0,-10.949877433112558,-11.828956492756808,-11.430592059545733,-12.363206071876176,-13.212351235515255
10,10_21,Focus,21,2,1.5,-11.153544265845197,-11.579074734121654,-11.601974249572418,-12.474639614868318,-13.16210352663797
10,10_21,Focus,21,3,2.0,-11.18451436080727,-11.905257714819426,-12.258098835258153,-12.589985552858591,-13.278452317935162
10,10_21,Focus,21,4,2.5,-11.314230479081264,-12.069497564967385,-11.83405292628463,-12.586877171456894,-13.25290710041975
10,10_21,Focus,21,5,3.0,-11.050730522656782,-12.063069024879969,-12.138367558411087,-12.66245542467167,-13.253640328769785
10,10_21,Focus,21,6,3.5,-11.45817408866384,-12.217145730483894,-12.284401904516,-12.72826520339722,-13.21331522566275
10,10_21,Focus,21,7,4.0,-11.383655385933446,-11.921468266729956,-12.285843573977266,-12.72630455022452,-13.278217009422836
10,10_21,Focus,21,8,4.5,-11.15196206322186,-11.740080170066935,-11.964190003246587,-12.693713483448882,-13.181160449319336
10,10_22,Focus,22,0,0.5,-11.065959910028814,-11.70934394681153,-11.88530161332279,-12.346337217710056,-12.696440592701654
